Subject,Start Date,Start Time,End Date,End Time,Location,Description
Alasdair Gray: A Life in Progress,17/11/2014,19:00,17/11/2014,20:34,Leeds Town Hall - Albert Room,"A Life in Progress is a playful documentary tribute to the unique Scottish renaissance man, Alasdair Gray: groundbreaking novelist, mural painter, notorious drunkard, irascible interviewee and controversial essayist. Filmed over the course of 15 years, the film explores the biographical and literary influences behind his great novel Lanark and the development of his artwork from [...]

http://www.leedsfilm.com/films/alasdair-gray-life-progress/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Alleluia,16/11/2014,18:45,16/11/2014,20:18,Hyde Park Picture House,"Based loosely on the true story of the 1940s 'lonely hearts killers', Du Welz (The Ordeal, LIFF 2004) relocates the story to present day Ardennes, where lonely Gloria falls in love with Michel after only one date, only to find that he is a con artist who seduces widows and steals their money. Determined not [...]

http://www.leedsfilm.com/films/alleluia/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Appleseed Alpha,09/11/2014,11:00,09/11/2014,12:33,Leeds Town Hall - Victoria Hall,"Based on the comic book by the creator of Ghost in the Shell and from the director of the original Appleseed anime movie comes the intense post-apocalyptic prequel. Left to survive in a post-World War society, two mercenary soldiers – Deunan and her cyborg partner Briareos - are sent on a mission on the outskirts [...]

http://www.leedsfilm.com/films/appleseed-alpha/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Asmodexia,08/11/2014,12:00,08/11/2014,13:21,Leeds Town Hall - Victoria Hall,"Co-written by Marc Carrete and Mike Hostench (deputy director of Sitges International Fantastic Film Festival) Asmodexia rises above the recent slew of exorcism/possession movies to deliver a tense and terrifying vision of Armargeddon. Eloy de Palma is an exorcist travelling across country with his teenage grandaughter Alba towards Barcelona. Their mission is to help those [...]

http://www.leedsfilm.com/films/asmodexia/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Awesome; I …. Shot That!,15/11/2014,16:00,15/11/2014,17:30,Leeds Town Hall - Victoria Hall,"A rare big screen outing for the instant classic concert film, Awesome; I …. Shot That made in 2004 at a sold out concert at Madison Square Gardens. Awesome is skillfully assembled from the footage shot by 50 fans who were given camcorders to use in different parts of the stadium. The result is an [...]

http://www.leedsfilm.com/films/awesome-shot/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Because I was a Painter,08/11/2014,14:30,08/11/2014,16:14,Vue in the Light,"Extraordinary though it may seem, a significant amount of artwork survives that was secretly created in the Nazi concentration camps. Because I Was a Painter is an unprecedented investigation into this phenomenon, conversing with the handful of living artists who survived the camps and with their curators: about the emotions the works stir, their marginalization, [...]

http://www.leedsfilm.com/films/painter/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Because I was a Painter,10/11/2014,14:00,10/11/2014,15:44,Vue in the Light,"Extraordinary though it may seem, a significant amount of artwork survives that was secretly created in the Nazi concentration camps. Because I Was a Painter is an unprecedented investigation into this phenomenon, conversing with the handful of living artists who survived the camps and with their curators: about the emotions the works stir, their marginalization, [...]

http://www.leedsfilm.com/films/painter/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Bird People,12/11/2014,18:00,12/11/2014,20:07,Vue in the Light,"Selected to compete at this year's Cannes Film Festival Un Certain Regard, Pascale Ferran's Bird People combines magic and realism to tell the tale of two people in transit, an American businessman in throws of a midlife crisis, and a wistful French hotel maid who happens to be in the same airport hotel. Both appear alienated, desiring to take flight and [...]

http://www.leedsfilm.com/films/bird-people/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Bird People,15/11/2014,15:00,15/11/2014,17:07,Vue in the Light,"Selected to compete at this year's Cannes Film Festival Un Certain Regard, Pascale Ferran's Bird People combines magic and realism to tell the tale of two people in transit, an American businessman in throws of a midlife crisis, and a wistful French hotel maid who happens to be in the same airport hotel. Both appear alienated, desiring to take flight and [...]

http://www.leedsfilm.com/films/bird-people/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Bird People,18/11/2014,13:30,18/11/2014,15:37,Vue in the Light,"Selected to compete at this year's Cannes Film Festival Un Certain Regard, Pascale Ferran's Bird People combines magic and realism to tell the tale of two people in transit, an American businessman in throws of a midlife crisis, and a wistful French hotel maid who happens to be in the same airport hotel. Both appear alienated, desiring to take flight and [...]

http://www.leedsfilm.com/films/bird-people/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Birdman or (The Unexpected Virtue of Ignorance),20/11/2014,18:30,20/11/2014,20:29,Hyde Park Picture House,"Receiving its UK Premiere as the closing film of LIFF28, the highly-acclaimed black comedy Birdman is one of the most anticipated films of the year. Directed by Alejandro Gonzalez IÃ±arritu (Amores Perros, 21 Grams), Birdman is the story of an actor – famous for portraying an iconic superhero – as he struggles to mount a Broadway play in a [...]

http://www.leedsfilm.com/films/birdman-unexpected-virtue-ignorance/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Birdman or (The Unexpected Virtue of Ignorance),20/11/2014,21:00,20/11/2014,22:59,Hyde Park Picture House,"Receiving its UK Premiere as the closing film of LIFF28, the highly-acclaimed black comedy Birdman is one of the most anticipated films of the year. Directed by Alejandro Gonzalez IÃ±arritu (Amores Perros, 21 Grams), Birdman is the story of an actor – famous for portraying an iconic superhero – as he struggles to mount a Broadway play in a [...]

http://www.leedsfilm.com/films/birdman-unexpected-virtue-ignorance/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Bjork's Biophilia Live,06/11/2014,18:00,06/11/2014,19:37,Leeds Town Hall - Victoria Hall,"Recorded live at London's Alexandra Palace in 2013, Bjork and her band performed the entire Biophilia album, as well as reworking versions from her extensive catalogue using a broad variety of instruments – some digital, some traditional and some completely unclassifiable. The radical, live performance is fused with animation, science and nature footage inspired by [...]

http://www.leedsfilm.com/films/bjrks-biophilia-live/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Bjork's Biophilia Live,07/11/2014,21:00,07/11/2014,22:37,Leeds Town Hall - Victoria Hall,"Recorded live at London's Alexandra Palace in 2013, Bjork and her band performed the entire Biophilia album, as well as reworking versions from her extensive catalogue using a broad variety of instruments – some digital, some traditional and some completely unclassifiable. The radical, live performance is fused with animation, science and nature footage inspired by [...]

http://www.leedsfilm.com/films/bjrks-biophilia-live/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Brasil Bam Bam Bam: The Story of Sonzeira with Gilles Peterson,06/11/2014,20:30,06/11/2014,21:45,Leeds Town Hall - Victoria Hall,"Join LIFF28's special guest Gilles Peterson as the BBC Broadcaster, DJ and record collector fulfils a lifetime ambition, traveling to Rio to create the super-group Sonzeira and record the album 'Brasil Bam Bam Bam'. Feast your eyes and ears on the lively sounds of Rio-bossa, samba, Baile funk – and the colourful landscapes, people and [...]

http://www.leedsfilm.com/films/brasil-bam-bam-bam-story-sonzeira-gilles-peterson/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
British Short Film Competition (2 programmes),15/11/2014,14:00,15/11/2014,15:30,Hyde Park Picture House,"Last year's Best of British programme's included shorts which went on to win both live action and animation awards in the short film section at the BAFTAS as well as playing at a number of festivals internationally so that gives you a little feel for the sort of standard we're after these days. The 600+ [...]

http://www.leedsfilm.com/films/british-short-film-competition-2-programmes/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
British Short Film Competition (2 programmes),15/11/2014,16:00,15/11/2014,17:30,Hyde Park Picture House,"Last year's Best of British programme's included shorts which went on to win both live action and animation awards in the short film section at the BAFTAS as well as playing at a number of festivals internationally so that gives you a little feel for the sort of standard we're after these days. The 600+ [...]

http://www.leedsfilm.com/films/british-short-film-competition-2-programmes/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Cartoonists – Footsoldiers of Democracy,09/11/2014,14:00,09/11/2014,15:46,Vue in the Light,"Stephanie Valloatto's feature film debut showcases the humorous and often subversive work of political cartoonists led by French caricaturist Plantu. The documentary takes us on a whistle-stop tour of the world through interviews with 12 prominent cartoonists from countries as varied as France, Israel, China, Russia and the US, interspersed with examples of their drawings [...]

http://www.leedsfilm.com/films/cartoonists-footsoldiers-democracy/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Cartoonists – Footsoldiers of Democracy,10/11/2014,16:00,10/11/2014,17:46,Vue in the Light,"Stephanie Valloatto's feature film debut showcases the humorous and often subversive work of political cartoonists led by French caricaturist Plantu. The documentary takes us on a whistle-stop tour of the world through interviews with 12 prominent cartoonists from countries as varied as France, Israel, China, Russia and the US, interspersed with examples of their drawings [...]

http://www.leedsfilm.com/films/cartoonists-footsoldiers-democracy/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Cat Soup to Space Dandy: The Animation of Masaaki Yuasa,10/11/2014,19:00,10/11/2014,20:30,Everyman Leeds Trinity,"A recent guest animator for Adventure Time, Masaaki Yuasa is one of the most original, creative and playful minds in Japanese animation. Once you see an animated film by Masaaki Yuasa, you may never forget it, and scenes from this special selection of his work may enter your dreams. The selection includes cult anime short [...]

http://www.leedsfilm.com/films/cat-soup-space-dandy-animation-masaaki-yuasa/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Cat Soup to Space Dandy: The Animation of Masaaki Yuasa,11/11/2014,15:00,11/11/2014,16:30,Everyman Leeds Trinity,"A recent guest animator for Adventure Time, Masaaki Yuasa is one of the most original, creative and playful minds in Japanese animation. Once you see an animated film by Masaaki Yuasa, you may never forget it, and scenes from this special selection of his work may enter your dreams. The selection includes cult anime short [...]

http://www.leedsfilm.com/films/cat-soup-space-dandy-animation-masaaki-yuasa/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Catch Me Daddy,17/11/2014,18:00,17/11/2014,19:47,Leeds Town Hall - Victoria Hall,"The remarkable, visceral Yorkshire-set chase thriller Catch Me Daddy, screening at LIFF28 with cast and crew in attendance, is the debut feature of Daniel Wolfe, the award-winning director of Plan B's music videos. Laila is a girl on the run from her family, hiding out in West Yorkshire with her drifter boyfriend Aaron. When her [...]

http://www.leedsfilm.com/films/catch-daddy/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Cole Porter in Hollywood – John Wilson and the John Wilson Orchestra,19/11/2014,19:30,19/11/2014,21:30,Leeds Town Hall - Victoria Hall,"In one of the finale events of LIFF28, presented by Leeds International Concert Season, the John Wilson Orchestra returns to Leeds Town Hall with special guests and a brand new show celebrating the works of Cole Porter. The songs featured included I've Got You Under My Skin, Night & Day, and Let's Do It, in [...]

http://www.leedsfilm.com/films/cole-porter-hollywood-john-wilson-john-wilson-orchestra/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Combat Shock,08/11/2014,23:00,09/11/2014,00:25,Hyde Park Picture House,"Buddy Giovinazzo's Combat Shock, along with Deadbeat at Dawn and Street Trash (both also screening at LIFF28) reflect how the American Dream failed a whole section of society in the 80s, abandoning them to poverty and addiction. Frankie is a pathetic Vietnam veteran living in poverty in New York with a nagging wife and screaming [...]

http://www.leedsfilm.com/films/combat-shock/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Comfort and Joy,07/11/2014,14:00,07/11/2014,15:46,Hyde Park Picture House,"Screening as part of Leeds Free Cinema Week…Bill Forsyth's follow up to Gregory's Girl and Local Hero sees Glaswegian radio DJ Allan 'Dicky' Bird thrown into turmoil when his girlfriend suddenly leaves a few days before Christmas. His heartache is interrupted when he witnesses a violent attack on an ice-cream van and gets embroiled in [...]

http://www.leedsfilm.com/films/comfort-joy/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Coming Up Roses,07/11/2014,16:00,07/11/2014,17:30,Hyde Park Picture House,"Screening as part of Leeds Free Cinema Week…Stephen Bayly's Coming up Roses played at the Picture House as part of the first ever Leeds International Film Festival back in 1987. Its story about the closure of the last cinema standing in a small town in South Wales pre-dates Cinema Paradiso by two years though contains [...]

http://www.leedsfilm.com/films/coming-roses/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Concerning Violence,10/11/2014,18:30,10/11/2014,19:58,Hyde Park Picture House,"A boldly original take on the essay film, deconstructing the legacy of colonialism in Africa, Concerning Violence brings together recently uncovered archive footage and a narration from a controversial book about the mechanisms of decolonisation, Frantz Fanon's The Wretched of the Earth. Segments portray scenes from a nighttime stealth attack on a Portuguese base in [...]

http://www.leedsfilm.com/films/violence/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Corn Island,12/11/2014,20:30,12/11/2014,22:10,Vue in the Light,"Crystal Globe winner at this year's Karlovy Vary Film Festival, Corn Island is a beautiful and poetic film from Georgia. The Enguri River forms the border with the breakaway Republic of Abkhazia and tensions between the nations run high. Every spring the river brings fertile soil from the Caucasus, creating tiny islands: small clusters of [...]

http://www.leedsfilm.com/films/corn-island/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Corn Island,14/11/2014,18:30,14/11/2014,20:10,Vue in the Light,"Crystal Globe winner at this year's Karlovy Vary Film Festival, Corn Island is a beautiful and poetic film from Georgia. The Enguri River forms the border with the breakaway Republic of Abkhazia and tensions between the nations run high. Every spring the river brings fertile soil from the Caucasus, creating tiny islands: small clusters of [...]

http://www.leedsfilm.com/films/corn-island/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Corn Island,18/11/2014,16:00,18/11/2014,17:40,Vue in the Light,"Crystal Globe winner at this year's Karlovy Vary Film Festival, Corn Island is a beautiful and poetic film from Georgia. The Enguri River forms the border with the breakaway Republic of Abkhazia and tensions between the nations run high. Every spring the river brings fertile soil from the Caucasus, creating tiny islands: small clusters of [...]

http://www.leedsfilm.com/films/corn-island/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Creator of the Jungle,07/11/2014,19:00,07/11/2014,20:17,Everyman Leeds Trinity,"Josep Garrell, an eccentric recluse, created beautiful and unbelievable works of engineering in the forest next to the highway. He spent 45 years with his bare hands making spectacular tree houses and dreamlike structures in his jungle playground, only to burn them down and reconstruct them again. A child at heart, Garrell spent much of [...]

http://www.leedsfilm.com/films/creator-jungle/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Creator of the Jungle,08/11/2014,15:00,08/11/2014,16:17,Everyman Leeds Trinity,"Josep Garrell, an eccentric recluse, created beautiful and unbelievable works of engineering in the forest next to the highway. He spent 45 years with his bare hands making spectacular tree houses and dreamlike structures in his jungle playground, only to burn them down and reconstruct them again. A child at heart, Garrell spent much of [...]

http://www.leedsfilm.com/films/creator-jungle/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Cria Cuervos,17/11/2014,17:00,17/11/2014,18:50,Everyman Leeds Trinity,"One of the key Spanish films made in the last days of Franco's regime, Carlos Saura's Cria Cuervos is one of the successors to Berlanga and Bardems' satirical innovations. It's a disturbingly inventive psychodrama seen through the eyes of an eight-year-old orphan who believes she has poisoned her cold, authoritarian father. Cria Cuervos is one [...]

http://www.leedsfilm.com/films/cria-cuervos/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
Dead Short Competition,15/11/2014,02:00,15/11/2014,03:30,Hyde Park Picture House,"LIFF28 sees the launch of a brand new Fanomenon short film competition in partnership with Shameless Screen Entertainment specifically for directors working in the horror genre. Films can be from all over the world but must be under 10 minutes long and have a strong horror theme. The best entries will be screened as part [...]

http://www.leedsfilm.com/films/dead-short-competition/

DISCLAIMER: All LIFF28 events have been entered as 2 hours - please check the website or programme for actual running times.
Data taken from http://www.leedsfilm.com/films/ on 6th Oct 2014 and is subject to change (and errors).
This event data was created as a personal project and is not affilated with Leeds International Film Festival "
